ID,LABEL,FAVORITES,FOLLOWERS,MEDIA,FRIENDS,LISTED,STATUSES,N_FOLLOWERS,LOCATION
2390807984,kathleen depoorter,807,4390,521,605,49,2328,4390,
370709666,Sander Loones,8548,18505,4249,1851,213,19280,18505,Koksijde - Oostduinkerke
4245311650,Michael Freilich,6253,6946,1154,863,62,4791,6946,"Antwerp, Belgium"
3060125596,Darya Safai MP,5957,112770,2059,683,391,5080,112770,Belgium
951258554,Theo Francken MP,23307,162269,8362,4677,566,46417,162269,
2382815018,Peter Buysrogge âœŒ,682,1601,58,435,52,486,1601,Sint-Niklaas
608041261,Sophie De Wit,10958,5390,288,1150,93,12013,5390,
471895761,Peter De Roover,2189,31565,1062,648,208,11400,31565,"Antwerpen, BelgiÃ«"
217086184,ğ™±ğš“ğš˜Ìˆğš›ğš— ğ™°ğš—ğšœğšğšğšğš ,4250,2776,766,1327,76,5951,2776,Oostende
237217741,Frieda Gijbels,3299,3047,377,1113,45,3506,3047,"Oudsbergen, Limburg "
1010031669024296960,Yngvild Ingels,7372,1592,42,1461,27,464,1592,
1358793595,wouter raskin,3023,2084,527,969,49,5029,2084,Bilzen-Hoeselt
2442196564,Wim Van der Donckt,35705,2563,159,3125,41,3129,2563,Vlaanderen
1356343460,Anneleen Van Bossuyt,748,6869,393,386,162,1825,6869,Gent
56336288,Valerie Van Peel,3720,19891,300,1006,161,5719,19891,Kapellen
1308119714279968770,Sigrid Goethals,5017,908,100,654,21,483,908,"Asse, BelgiÃ«"
1083406650,Tomas Roggeman,20868,5891,858,2576,57,9249,5891,Vlaanderen
28338163,Bert Wollants,234,6489,752,1879,143,5666,6489,Lier
1539909011679727617,Mieke Claes,59,289,11,144,5,48,289,
312845736,Kristien Van VaerenberghğŸ—ï¸,1147,3215,197,803,81,1824,3215,Lennik
580737124,Koen Metsu,6997,4530,402,932,79,1590,4530,Vlaanderen